id,Selling_Price,km_Driven,City_Code,State_Code,Fuel,Seller_Type,Transmission,Owner,Mileage,Engine,Max_Power,Seats,Region_code,Sales_status
7506,280000,100000,28,12,1,1,1,2,14.8,2499,80,10,3,0
7507,150000,225000,5,10,1,1,1,4,14,1948,90,9,4,0
7508,550000,70000,28,12,1,1,1,2,12.05,2179,120,9,3,0
7509,655000,50000,23,5,1,1,1,2,14,2523,75,9,3,0
7510,409999,210000,23,5,1,1,1,1,12.2,1994,105.3,9,3,0
7511,295000,195000,5,10,1,1,1,2,14.8,2499,80,10,4,0
7512,430000,20000,7,16,3,1,1,2,18.15,1198,82,6,1,0
7513,450000,55000,22,4,1,1,1,2,25.32,1198,77,6,3,0
7514,430000,148000,21,6,1,1,1,2,12.05,2179,120,9,0,0
7515,95000,50000,26,3,3,1,1,2,25.4,624,37.5,4,1,0
7516,325000,5000,22,4,3,1,1,2,18.15,1198,82,6,3,0
7517,200000,152000,25,7,1,1,1,1,10.5,2609,120,9,2,0
7518,45000,30400,9,4,3,1,1,1,26,624,35,4,3,0
7519,320000,100000,3,12,1,1,1,2,12.7,2609,116.6,9,3,0
7520,400000,32000,13,2,3,1,1,2,18.15,1198,82,6,2,0
7521,250000,100000,13,2,1,1,1,2,15.96,2523,63,9,2,0
7522,800000,60000,4,13,1,1,1,2,16.55,2498,105,6,3,0
7523,400000,14000,27,3,3,1,1,2,18.15,1198,82,6,1,0
7524,550000,80000,19,15,1,1,1,2,12.05,2179,120,9,0,0
7525,330000,10000,4,13,0,1,1,2,33.44,796,40.3,4,3,0
7526,70000,50000,23,5,3,1,1,2,25.4,624,37.48,4,3,0
7527,285000,265000,5,10,1,1,1,1,14.8,2499,80,9,4,0
7528,900000,155000,21,6,1,1,0,2,16.07,1995,181,4,0,0
7529,45000,28000,1,7,3,1,1,2,25.4,624,37.5,4,2,0
7530,46000,25000,17,9,3,1,1,2,26,624,35,4,4,0
7531,10000000,30000,4,13,3,1,0,0,42,1969,400,4,3,1
7532,780000,35000,1,7,1,1,1,0,16.55,2498,105,6,2,1
